"","Code","Functional_Group","Species","Scientific_Name","SVSPP","NESPP3","Species_Itis","isFishedSpecies"
"282","PSH","Other pelagic sharks","Whitetip oc shark","CARCHARHINUS LONGIMANUS",NA,490,160330,FALSE
"283","QHG","Ocean quahog","Ocean quahog","ARCTICA ISLANDICA",409,754,81343,TRUE
"284","RCB","Red deep-sea crab","Red deep-sea crab","CHACEON QUINQUEDENS",310,710,620992,TRUE
"285","RED","Acadian redfish","Acadian redfish","SEBASTES FASCIATUS",155,240,166774,TRUE
"286","REP","Marine turtles","Green seaturtle","CHELONIA MYDAS",951,809,173833,FALSE
"287","REP","Marine turtles","Hawksbill seaturtle","ERETMOCHELYS IMBRICATA",953,814,173836,FALSE
"288","REP","Marine turtles","Kemp’s Ridley seaturtle","LEPIDOCHELYS KEMPI",954,810,551770,FALSE
"289","REP","Marine turtles","Leatherback seaturtle","DERMOCHELYS CORIACEA",952,812,173843,FALSE
"290","REP","Marine turtles","Loggerhead seaturtle","CARETTA CARETTA",950,813,173830,FALSE
"291","REP","Marine turtles","Olive Ridley seaturtle","LEPIDOCHELYS OLIVACEA",NA,818,173840,FALSE
"292","REP","Marine turtles","Turtles unclassified","TESTUDINES",NA,816,173749,FALSE
"293","REP","Marine turtles","Snapper turtle","CHELYDRA SERPENTINA",NA,815,173752,FALSE
"294","RHK","Red hake","Red hake","UROPHYCIS CHUSS",77,152,164730,TRUE
"295","RWH","Right whales","Right whales",NA,NA,NA,NA,TRUE
"296","SAL","Atlantic salmon","Atlantic salmon","SALMO SALAR",894,305,161996,TRUE
"297","SB","Seabirds","Seabirds",NA,NA,NA,NA,TRUE
"298","SCA","Sea scallop","Sea scallop","PLACOPECTEN MAGELLANICUS",401,800,79718,TRUE
"299","SCU","Scup","Scup","STENOTOMUS CHRYSOPS",143,329,169182,TRUE
"300","SDF","Atlantic states demersal fish","American eel","ANGUILLA ROSTRATA",384,115,161127,FALSE
"301","SG","Seagrass","Seagrass",NA,NA,NA,NA,FALSE
"302","SHK","Silver hake","Silver hake","MERLUCCIUS BILINEARIS",72,509,164791,TRUE
"303","SHK","Silver hake","King whiting","MENTICIRRHUS",NA,197,169273,FALSE
"304","SK","Northeast skate complex","Atlantic stingray","DASYATIDAE",373,286,160946,FALSE
"305","SK","Northeast skate complex","Atlantic torpedo",NA,21,NA,NA,FALSE
"306","SK","Northeast skate complex","Barndoor skate","DIPTURUS LAEVIS",22,368,564139,FALSE
"307","SK","Northeast skate complex","Bluntnose stingray",NA,18,NA,NA,FALSE
"308","SK","Northeast skate complex","Bullnose ray",NA,19,NA,NA,FALSE
"309","SK","Northeast skate complex","Clearnose skate","RAJA EGLANTERIA",24,372,160855,FALSE
"310","SK","Northeast skate complex","Cownose ray","RHINOPTERA BONASUS",270,285,160985,FALSE
"311","SK","Northeast skate complex","Rosette skate","LEUCORAJA GARMANI",25,364,564136,FALSE
"312","SK","Northeast skate complex","Roughtail stingray",NA,4,NA,NA,FALSE
"313","SK","Northeast skate complex","Smooth skate","MALACORAJA SENTA",27,369,564151,FALSE
"314","SK","Northeast skate complex","Spotted eagle ray",NA,271,NA,NA,FALSE
"315","SK","Northeast skate complex","Thorny skate","AMBLYRAJA RADIATA",28,370,564149,FALSE
"316","SK","Northeast skate complex","Yellow stingray",NA,377,NA,NA,FALSE
"317","SMO","Smooth dogfish","Smooth dogfish","MUSTELUS CANIS",13,351,160230,TRUE
"318","SSH","Sandbar shark","Sandbar shark","CARCHARHINUS PLUMBEUS",9,482,160289,TRUE
"319","STB","Striped bass","Striped bass","MORONE SAXATILIS",139,418,167680,TRUE
"320","SUF","Summer flounder","Summer flounder","PARALICHTHYS DENTATUS",103,121,172735,TRUE
"321","SWH","Small toothed whales","Small toothed whales",NA,NA,NA,NA,TRUE
"322","TAU","Tautog","Tautog","TAUTOGA ONITIS",177,438,170479,TRUE
"323","TUN","Other tunas","Albacore","THUNNUS ALALUNGA",703,470,172419,FALSE
"324","TUN","Other tunas","Bigeye tuna","THUNNUS OBESUS",706,469,172428,FALSE
"325","TUN","Other tunas","Blackfin tuna","THUNNUS ATLANTICUS",705,464,172427,FALSE
"326","TUN","Other tunas","Little tunny","EUTHYNNUS ALLETTERATUS",743,468,172402,FALSE
"327","TUN","Other tunas","Bonito","SARDA SARDA",NA,33,172409,FALSE
"328","TUN","Other tunas","Dolphinfish","CORYPHAENA HIPPURUS",NA,105,168791,FALSE
"329","TUN","Other tunas","Nk tuna","THUNNUS",NA,465,172418,FALSE
"330","TUN","Other tunas","Skipjack tuna","KATSUWONUS PELAMIS",NA,466,172401,FALSE
"331","TUN","Other tunas","Wahoo","ACANTHOCYBIUM SOLANDRI",NA,472,172451,FALSE
"332","TUN","Other tunas","Yellowfin tuna","THUNNUS ALBACARES",NA,471,172423,FALSE
"333","TWH","Toothed whales","Toothed whales",NA,NA,NA,NA,TRUE
"334","TYL","All tilefish","Blueline tilefish","CAULOLATILUS MICROPS",621,444,168543,FALSE
"335","TYL","All tilefish","Tilefish","LOPHOLATILUS CHAMAELEONTICEPS",151,446,168546,FALSE
"336","TYL","All tilefish","Tilefish unclassified","MALACANTHIDAE",NA,447,168537,FALSE
"337","TYL","All tilefish","Goldface tilefish","CAULOLATILUS CHRYSOPS",NA,443,168544,FALSE
"338","TYL","All tilefish","Sand tilefish","MALACANTHUS PLUMIERI",NA,445,168548,FALSE
"339","WHK","White hake","White hake","UROPHYCIS TENUIS",76,153,164732,TRUE
"340","WHK","White hake","White hake","UROPHYCIS TENUIS",76,154,164732,TRUE
"341","WIF","Winter flounder","Winter flounder","PSEUDOPLEURONECTES AMERICANUS",106,119,172905,TRUE
"342","WIF","Winter flounder","Winter flounder","PSEUDOPLEURONECTES AMERICANUS",106,120,172905,TRUE
"343","WOL","Wolffish","Northern wolffish","ANARHICHAS DENTICULATUS",NA,668,550561,FALSE
"344","WOL","Wolffish","Spotted wolffish","ANARHICHAS MINOR",NA,510,171342,FALSE
"345","WOL","Wolffish","Wolffishes","ANARHICHAS LUPUS",NA,512,171341,FALSE
"346","WPF","Windowpane flounder","Windowpane flounder","SCOPHTHALMUS AQUOSUS",108,125,172746,TRUE
"347","WSK","Winter skate","Winter skate","LEUCORAJA OCELLATA",23,367,564145,TRUE
"348","WTF","Witch flounder","Witch flounder","GLYPTOCEPHALUS CYNOGLOSSUS",107,122,172873,TRUE
"349","YTF","Yellowtail flounder","Yellowtail flounder","LIMANDA FERRUGINEA",105,123,172909,TRUE
"350","ZG","Gelatinous zooplankton","Gelatinous zooplankton",NA,NA,NA,NA,FALSE
"351","ZL","Carnivorous zooplankton","All carnivorous zooplankton",NA,NA,NA,NA,FALSE
"352","ZM","Mesozooplankton","Mesozooplankton",NA,NA,NA,NA,FALSE
"353","ZS","Microzooplankton","Microzooplankton",NA,NA,NA,NA,FALSE
